Shayakha,Arabic,Qism,Lat,Long,1897,1907,1917,Modern Shayakha,Modern Qism
Souq Al Gomaa WA Al Munirah,,El-Labban,31.1871779,29.8869439,,,,Souq Al Gomaa WA Al Munirah,El-Labban
Al Hamamil,,El-Mansheya,31.1948983,29.8898364,El Hamamil ,,1. El Hammil & El Magharba,Al Hamamil,El-Mansheya
Al Mansheyah Al Kubra,,El-Mansheya,31.1981136,29.8938134,,,,Al Mansheyah Al Kubra,El-Mansheya
Souq Al Barseim,,El-Mansheya,31.1966352,29.8874862,,,2. Suq el Barsim & El ablaqtariya,Souq Al Barseim,El-Mansheya
Souq at Tork,,El-Mansheya,31.2000533,29.8887517,,,4. Suq al Turk  & El Manshiya,Souq at Tork,El-Mansheya
Sidi Beshr Bahri,,El-Montaza,31.2670856,29.9928415,,,,Sidi Beshr Bahri,El-Montaza
Sidi Beshr Qebli,,El-Montaza,31.2524214,29.9942867,,,,Sidi Beshr Qebli,El-Montaza
ADH Dhahereyah WA Izbat as Safih,,El-Raml,31.231125,29.9632129,,,,ADH Dhahereyah WA Izbat as Safih,El-Raml
Abis,,El-Raml,31.1963236,29.9798347,,,,Abis,El-Raml
Al Aqesa WA Baqos,,El-Raml,31.2373512,29.9668265,,,,Al Aqesa WA Baqos,El-Raml
Al Mahrousah,,El-Raml,31.2332731,29.9726081,,,,Al Mahrousah,El-Raml
Al Qasaei Bahri,,El-Raml,31.2415375,29.9733308,,,,Al Qasaei Bahri,El-Raml
Al Qasaei Qebli,,El-Raml,31.2421934,29.9783894,,,,Al Qasaei Qebli,El-Raml
Dana Al Gadidah WA Izbat Al Westaneyah,,El-Raml,31.2293859,29.9827252,,,,Dana Al Gadidah WA Izbat Al Westaneyah,El-Raml
Fleming,,El-Raml,31.2351069,29.9552627,,,,Fleming,El-Raml
Hagar an Nawateyah,,El-Raml,31.2189865,29.9827252,,,,Hagar an Nawateyah,El-Raml
Khorshid Al Qebleyah,,El-Raml,31.1978531,30.0145169,,,,Khorshid Al Qebleyah,El-Raml
San Stifano,,El-Raml,31.247011,29.9697173,,,,San Stifano,El-Raml
Zaarbana WA Al Hamam,,El-Raml,31.2243512,29.9668265,,,,Zaarbana WA Al Hamam,El-Raml
Al Karah WA at Toubageyah WA Kafr Al Ghates,,Karmouz,31.1821329,29.8952596,,,8. Kafr el Ghatis,Al Karah WA at Toubageyah WA Kafr Al Ghates,Karmouz
Bab Sedra Al Barani Bahri,,Karmouz,31.1876684,29.8977904,,,2. Bab Sidra North ( Suq el Ghanam),Bab Sedra Al Barani Bahri,Karmouz
Bab Sedra Al Barani Gharb,,Karmouz,31.1850663,29.8977904,,,3. Bab Sidra West,Bab Sedra Al Barani Gharb,Karmouz
Bab Sedra Al Barani Sharq,,Karmouz,31.1845138,29.8999596,,,1. Bab Sidra East,Bab Sedra Al Barani Sharq,Karmouz
Ghait Al Enab Gharb,,Karmouz,31.1736877,29.9003211,,,,Ghait Al Enab Gharb,Karmouz
Ghait Al Enab Sharq,,Karmouz,31.1766819,29.9089976,,,5. Gheit el Inab,Ghait Al Enab Sharq,Karmouz
Karmouz Gharb,,Karmouz,31.1778612,29.8967058,,,10. Karmus West,Karmouz Gharb,Karmouz
Karmouz Sharq,,Karmouz,31.1801442,29.8992366,,,9. Karmus East,Karmouz Sharq,Karmouz
Noubar,,Karmouz,31.1815923,29.9024903,,,11. Nubar Pasha,Noubar,Karmouz
Sultan Mosque,,Karmouz,31.1858638,29.9010442,,,4. Gami Sultan,Sultan Mosque,Karmouz
Al Amoud,,Mina El-Basal,31.1832377,29.890921,,,,Al Amoud,Mina El-Basal
Al Boursah WA Kafr Ashri,,Mina El-Basal,31.1825747,29.8858592,,,,Al Boursah WA Kafr Ashri,Mina El-Basal
Al Mafrouzah Gharb,,Mina El-Basal,31.1650929,29.8829666,,,,Al Mafrouzah Gharb,Mina El-Basal
Al Mafrouzah Sharq,,Mina El-Basal,31.1662233,29.8887517,,,,Al Mafrouzah Sharq,Mina El-Basal
Al Metras,,Mina El-Basal,31.1590957,29.8656099,,,,Al Metras,Mina El-Basal
Al Qabari,,Mina El-Basal,31.1721648,29.8858592,,,,Al Qabari,Mina El-Basal
Al Wardiyan Gharb,,Mina El-Basal,31.1651366,29.8648866,,,,Al Wardiyan Gharb,Mina El-Basal
Al Wardiyan Qebli,,Mina El-Basal,31.161359,29.8771813,,,,Al Wardiyan Qebli,Mina El-Basal
Al Wardiyan Sharq,,Mina El-Basal,31.1679377,29.869226,,,,Al Wardiyan Sharq,Mina El-Basal
Kom Ash Shoqafah,,Mina El-Basal,31.1806354,29.890921,,,,Kom Ash Shoqafah,Mina El-Basal
Tabyet Saleh,,Mina El-Basal,31.1765091,29.8764581,,,,Tabyet Saleh,Mina El-Basal
Abis,,Moharram Bek,31.1810372,29.9480348,,,,Abis,Moharram Bek
Al Bab Al Gadid Sharqi,,Moharram Bek,31.1862551,29.9097206,,,,Al Bab Al Gadid Sharqi,Moharram Bek
Al Bab Al Gadid WA Mansha,,Moharram Bek,31.1908949,29.9068285,,,,Al Bab Al Gadid WA Mansha,Moharram Bek
As Sabheyah WA Izbat Sharkas WA Izbat Raafat,,Moharram Bek,31.1852686,29.9263488,,,,As Sabheyah WA Izbat Sharkas WA Izbat Raafat,Moharram Bek
Emberouz WA Moharram Beik,,Moharram Bek,31.1936159,29.9191194,,,,Emberouz WA Moharram Beik,Moharram Bek
Ragheb Basha,,Moharram Bek,31.1860596,29.9053825,,,,Ragheb Basha,Moharram Bek
Ad Daerah Al Gomrokeyah,,Shortet Al Mina,31.1880235,29.8721189,,,,Ad Daerah Al Gomrokeyah,Shortet Al Mina
AR Riyadah,,Sidi Gabir,31.2142705,29.9350236,,,,AR Riyadah,Sidi Gabir
Abu an Nawatir,,Sidi Gabir,31.2254446,29.9523716,,,,Abu an Nawatir,Sidi Gabir
Ezbet El-Nozha,,Sidi Gabir,31.2078187,29.9653811,,,,Ezbet El-Nozha,Sidi Gabir
Ezbet Saad,,Sidi Gabir,31.2122493,29.9480348,,,,Ezbet Saad,Sidi Gabir
Mustafa Kamel WA Bolkli,,Sidi Gabir,31.229522,29.9465892,,,,Mustafa Kamel WA Bolkli,Sidi Gabir
Sidi Gabir,,Sidi Gabir,31.2213348,29.9379151,,,,Sidi Gabir,Sidi Gabir
