"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
Charé'h el Karakol,32,163,168,331
Haret Ibrahim Issa,24,141,143,284
Charé'h Omar Pacha,23,113,91,204
Haret el Guizawi,52,247,241,488
Sans résidence fixe,,212,,212
,659,4013,3787,7800
Kom Chokafa el Barrani,,,,
Haret el Fahaïri,33,148,176,324
Haret el Sayed Ewedah,41,173,202,375
Charé'h Aly Bey Hussein,9,70,66,136
Haret Chata,41,214,218,432
Haret Cha’at,48,213,217,430
Haret Aly Bey Hussein Gharbi,3,3,,3
Charé'h Aly Bey Hussein Kebli,8,37,33,70
Charé'h Hassan Bey Abdallah,7,27,32,59
Haret Kolkela,47,288,280,568
Haret Charchar,50,285,316,601
,287,1458,1540,2998
Bab Sidra el Barrani,,,,
Charé'h Amoud el Sawari,30,76,75,151
Haret Moustapha Hannout,63,230,254,484
Haret Amine Madwar,88,420,372,792
Haret Moussa Aly el Dallal,55,317,283,600
Haret Soleiman Effendi,49,226,245,471
Haret Moursi Zaher,37,175,168,343
Haret Hussein Farag,8,41,36,77
,330,1485,1433,2918
Hadra w. El Ibrahimieh,,,,
Gueneinet el Nouzha,10,31,8,39
Ezbet Prince Ahmad Pacha,70,209,218,427
Charé'h Moustapha Bey el Manzalawi,76,221,212,433
Ezbet Menasce,21,78,74,152
Charé'h Bacha,24,105,115,220
Ezbet el Royah,42,72,87,159
Ezbet Prince Ahmad Pacha,42,121,128,249
Haret Mohammed Allam,13,54,54,108
Ezbet Ahmad Pacha Ra'fat,22,54,68,122
Haret Wabour Selim w. Charé'h Youssef Bey,98,426,454,880
Charé'h el Hag Ibrahim el Ammar,23,66,70,136
Charé'h Osman Pacha,30,74,94,168
Charé'h Youssef el Mekhemar,54,133,154,287
Ezbet Toussoun Pacha,77,186,215,401
Haret el Gazayer,18,57,49,106
Haret Salem Badr,10,51,56,107
Haret el Farran,13,153,155,308
Haret el Raïs,17,47,61,108
Haret Ewedah,8,53,60,113
Ibrahimieh,61,159,137,296
Ezbet Toussoun Pacha,48,112,120,232
Ezbet Makhlouf,35,122,128,250
Charé'h Mohammed Zeidan,13,31,42,73
Charé'h Chehawi,15,50,59,109
Ezbet Prince Ibrahim Pacha,74,210,201,411
Charé'h el Hadra,73,306,289,595
Sidi Gaber,99,305,319,624
Ezbet Ragab Pacha,10,32,19,51
Ezbet el Hag Hegazi,29,63,83,146
Charé'h Tayel,14,48,55,103
Ezbet Antoniades,41,67,73,140
Ezbet Osman Pacha Orfi,35,108,120,228
Ezbet Guemé'aï,9,20,11,31
Sans résidence fixe,,123,27,150
,1224,3947,4015,7962
Gharbi Bab el Guédid,,,,
Charé'h el Tawabi,69,903,384,1287
Haret el Médah,38,135,160,295
Haret el Game’h,38,193,194,387
Haret el Hammarah,41,201,211,412
Haret Tabeh el Dine,55,301,349,650
Haret Aly Khalil,52,250,284,534
Haret el Hossari,60,250,274,524
Haret el Madrassa,156,715,709,1424
Charé'h el Khodari,40,206,211,417
El Moghrabi,151,670,681,1351
,700,3824,3457,7281
Gharbi Karmouz,,,,
Charé'h el Maghrabi,20,125,117,242
Charé'h Wabour el Gaz,50,280,292,572
Haret Moursi el Sabbagh,8,46,62,108
Haret Ahmad Farghali,43,255,260,515
Haret Aly Badr el Farran,24,127,149,276
Haret el Lessi Moustapha,17,124,118,242
Haret Awad Ga'far,29,159,172,331
Haret Abou Fodah,18,122,88,210
Haret Aly el Guizawi,13,54,66,120
Haret Abou el Naga Effendi,33,135,149,284
Charé'h Karmouz,68,332,352,684
,323,1759,1825,3584
Gharb Kom Choukafa,,,,
Charé'h el Mahmoudieh,23,57,53,110
Ezbet Kom el Choukafa,44,192,177,369
Charé'h Wabour el Zeit,13,54,49,103
Haret el Rassif w. Haret el Wabour,15,89,93,182
Haret el Marakbieh,38,171,188,359
Haret el Gaazouri,39,197,201,398
Haret el Touradi,44,185,200,385
Haret Om Hartein,53,202,227,429
Haret el Hadayer,43,195,184,379
Charé'h el Souk,41,166,151,317
,353,1508,1523,3031
Moharrem Bey,,,,
Charé'h Moharrem Bey,26,211,199,410
Charé'h Kassem Pacha,21,70,76,146
Ezbet el Echach el Koubar,82,296,320,616
Charé'h Rostom Bey,4,16,18,34
Charé'h Abdel Latif Bey Erfan,18,54,55,109
Haret el Gamé'h,13,63,65,128
Haret Erfan Pacha,9,38,44,82
Khartet Paolino,135,588,635,1223
Charé'h Wabour el Talg,26,95,76,171
Charé'h el Farkha,26,17,15,32
Charé'h el Mineh,25,95,107,202
Charé'h Mahmoudieh,39,144,164,308
Charé'h Lombroso,58,162,165,327
Charé'h el Farkha,105,299,316,615
Ezbet Ahmad Pacha Raafat,23,58,57,115
Ezbet Averoff,15,40,28,68
Ezbet Toussoun Pacha,44,101,122,223
Ezbet el Echrafieh,25,63,71,134
Ezbet Echach el Derissah,9,19,25,44
,703,2429,2558,4987
Gheit el Enab,,,,
Charé'h Ragheb Pacha,55,237,244,481
Haret Rezeka Ismaïl,20,90,89,179
Haret Sa'd el Zalabani,22,86,91,177
Haret Moussa Kaboudan,17,91,79,170
Haret Ahmad Radouan,9,32,21,53
Haret Ibrahim Ga'far,19,54,73,127
Haret Mahmoud el Moufti,10,46,54,100
Haret Saleh el Amroussi,11,56,53,109
Haret el Sayed Sallam,9,66,80,146
Moustapha Khattab,20,91,102,193
Haret Aly Ahmad el Tourki,29,118,120,238
Haret Hussein Aly el Naggar,80,281,278,559
Ezbet Ragheb Pacha,109,375,373,748
Gheit el Enab,221,677,685,1362
Chat el Mallaha,1,2,,2
,632,2302,2342,4644
Charki Karmouz,,,,
Haret Osman Rezeka,12,60,72,132
Haret Hanafi Mahmoud el Guendi,31,157,171,328
El Kharta el Mostagadda,71,287,282,569
Haret el Sour,12,49,49,98
Haret Mohammed Mosbah,8,33,29,62
Haret Mohammed Emarah,26,121,139,260
Haret Mohammed Daoud,15,67,73,140
Haret Mohammed Ahmad el Mestehi,15,56,59,115
Haret Hachem Mohammed Bayoumi,12,46,47,93
Charé'h Wast el Chiakha,13,89,82,171
Haret el Moghrabi,7,14,6,20
Haret Habib Eid,9,16,24,40
Haret Ibrahim Effendi Soleiman,24,100,93,193
Haret Mohammed Abdel Nabi,12,53,49,102
Haret Mohammed Goudeh,14,63,76,139
Haret Mohammed Ismaïl el Banna,33,113,130,243
Haret Aly el Samouli,6,25,21,46
Charé'h Omar Pacha,4,19,20,39
Charé'h Karmouz w. el Mahmoudieh,16,59,58,117
Haret Mahmoud Ahmad el Nakkache,7,26,24,50
Haret Ahmad Abdallah,3,8,18,26
,350,1461,1522,2983
El Ghatès,,,,
El Ghatès w. Charé'h Hassan Bey,27,141,142,283
El Ghatès w. Charé'h el Sirgueh,52,270,248,518
El Ghatès w. Gamé'h Hassan Bey,105,429,444,873
Haret Mohammed Abdel Rahman el Ketami,17,93,89,182
Haret el Sayed Farhoudah,14,92,83,175
Haret Afifi Abouti el Gazzar,15,85,86,171
Haret Abdel ’Ati el Adawi,11,48,57,105
Haret Mohammad el Gueheni,12,50,36,86
Haret Ahmad ’Aly el Mahallawi,14,53,48,101
Haret el Ordi,29,111,89,200
Haret el Lessi,15,84,89,173
Haret Soleiman Hussein,28,166,175,341
Haret el Cheikh Aly el Tantawi el Koutaibi,31,151,137,288
,370,1773,1723,3496
El Toubguieh,,,,
Charé'h Abdel Rahim Mohammed,13,45,40,85
Haret Ahmad Soleiman,81,319,251,570
Charé'h Osman el Zayat,57,186,178,364
Haret el Cheikh Mansour el Chafé'i,19,48,59,107
Haret el Gallada,24,65,71,136
Haret el Sayed Moursi,23,80,68,148
Haret Hediyah Mohammed,22,68,54,122
Haret el Cheikh Abdel Razzak Hassan,32,76,74,150
Haret Mohammed Ismaïl el Bittar,24,48,50,98
Haret el Cheikh Ibrahim Mohammed,26,94,69,163
Haret el Cheikh Abdel Razzak Ahmad,23,54,51,105
Charé'h Bab Sidra el Barrani,3,8,3,11
,347,1091,968,2059
El Kara w. Charki Kom el Choukafa,,,,
Charé'h Wabour el Gaz,35,157,149,306
El Meghra w. el Mahmoudieh,65,185,177,362
Charé'h Karmouz,20,92,124,216
Charé'h el Moghrabi,30,163,140,303
Charé'h el Kara,68,349,359,708
Haret Saïd Aly,7,34,38,72
Haret Mohammed Khalifa,8,38,45,83
Haret Hassan Amacha,16,71,78,149
Haret Osman Effendi Kandil,17,67,76,143
Charé'h el Chagar,38,159,170,329
Haret Habib Eid,24,82,102,184
,328,1397,1458,2855
El Toubguieh w. Bahri Kom el Choukafa,,,,
Charé'h Hassan Abdallah w. Ibrahim Sid Ahmad,34,188,203,391
1er Atfet du Charé'h Kom el Choukafa,12,52,59,111
2me Atfet du Charé'h Kom el Choukafa,17,66,81,147
3me Atfet du Charé'h Kom el Choukafa,14,93,91,184
4me Atfet du Charé'h Kom el Choukafa,18,85,98,183
Charé'h Kom el Choukafa w. Aly Sid Ahmad,11,54,57,111
Haret Sid Ahmad Mekkawi w. Ahmed Ayoub el Gamé'h,29,197,182,379
1er Haret el Cheneti,29,210,178,388
2me Haret el Cheneti,6,36,26,62
Haret el Dakma,57,140,160,300
Haret el Kabchawi,68,238,202,440
Haret Abou Chemar,46,232,215,447
Haret el Toubguieh,28,124,117,241
Haret el Gohari,24,116,119,235
Charé'h el Sirgueh w. Haret Gamé'h Ayoub,7,12,23,35
,400,1843,1811,3654
Bab Sidra el Barrani,,,,
Haret Ahmad Effendi Rouchdi,27,158,173,331
Haret Hassan el Serafi el Farran,15,87,93,180
Haret Bismot,37,64,30,94
Haret Hassan el Hammami w. Moh. Gaber,21,116,119,235
Haret Rabi’ el Gallad,26,124,132,256
Haret Ahmad Bakri Khater,33,162,173,335
Charé'h Ragheb Pacha,11,27,20,47
Haret Saleh Effendi,40,178,194,372
Haret Mohammed Effendi Zahed,30,111,99,210
Haret Zouweil,37,171,186,357
Charé'h Soultan,21,99,94,193
Haret Arafa el Khabbaz,26,101,111,212
Haret Ibrahim Degheche,17,91,96,187
Haret Sa’dallah Bej Hallaba,28,159,150,309
Hawari Bab Sidra,49,230,266,496
Haret Osman Pacha Naguib,32,147,141,288
,450,2025,2077,4102
MANCHIEH,,,,
El Hamamil,,,,
Charé'h el Warcha,95,685,600,1285
Charé'h el Halwagui,65,471,362,833
Charé'h el Guiddawi,69,475,468,943
Charé'h Anastasi,36,267,230,497
Charé'h el Saba Banat,11,56,40,96
Charé'h el Hamamil,65,354,257,611
Charé'h el Sekka el Guédida,4,31,20,51
Sans résidence fixe,,115,13,128
,345,2454,1990,4444
El Set Ne’emah,,,,
Charé'h el Set Ne’emah,159,1164,1044,2208
Charé'h el Sekka el Guédida,4,11,11,22
Gamé’h el Cheikh,23,92,90,182
Charé'h Anastasi,20,79,52,131
Charé'h Ratib Pacha,20,85,51,136
Charé'h el Attarine,7,88,87,175
El Manchieh el Kobra,19,159,167,326
Charé'h el Bosta Masriah,7,47,46,93
Charé'h el Paradiso,12,96,135,231
Charé'h el Manchieh el Soghra,24,154,154,308
Charé'h el Warcha,8,30,27,57
Charé'h Loukoullos,31,128,116,244
Charé'h el Saba Banat,63,451,543,994
,397,2584,2523,5107
Haret el Magharba,,,,
Charé'h Haret el Magharba,38,297,254,551
Zokak Abou el Kheir,16,95,84,179
Zokak el Wakf,19,135,135,270
Zokak Sidi Khadr,11,84,74,158
Souk el Baddadine,1,7,5,12
Charé'h Hammam el Cheikh,5,39,27,66
Charé'h Souk el Menagguédine,3,26,27,53
Charé'h Ibrahim,2,26,16,42
Charé'h Beit el Cheikh,17,154,148,302
Charé'h Gamé’h el Kadi,21,104,100,204
Charé'h Souk el Dikik,7,21,11,32
Zokak el Arab,15,142,128,270
Zokak el Torab,16,167,148,315
Charé'h Gamé’h el Cheikh,6,30,14,44
Charé'h el Menkayi,13,167,162,329
El Sekka el Guedida,7,70,62,132
Souk el Kanto,29,200,146,346
Souk el Kontarguieh,7,123,84,207
Souk el Habbaline,3,50,48,98
Charé'h Kahwet Mohammed Aly,8,23,8,31
Kahwet El Laban,16,202,202,404
Charé'h Agzakanah Galetti,2,50,36,86
Charé'h Chader el Battikh el Guedid,19,92,91,183
Charé'h Chader el Battikh el Kadim,13,90,50,140
Charé'h Hamman Danubio,17,62,43,105
Souk el Tourk,15,326,257,583
Charé'h el Tabbakhine,8,60,37,97
Souk el Akkadine,7,71,43,114
Charé'h el Sayaref,3,63,42,105
Charé'h el Sagha el Soghra,6,103,84,187
Souk el Kharratine,2,14,8,22
Souk el Noukalieh,2,53,51,104
Charé'h el Zabtieh,56,833,578,1411
Souk el Khet,3,36,30,66
Sans résidence fixe,,104,,104
,413,4119,3233,7352
Karakol el Labbane,,,,
Charé'h el Diar el Guédad,55,392,341,733
Haret el Labbanine,69,497,488,985
Haret Gamé'h el Fahham,68,595,564,1159
Charé'h Gamé’h el Fahham,18,100,85,185
Haret Malta,21,104,118,222
Charé'h Anastasi,48,295,316,611
Charé'h el Ibrahimi,19,110,117,227
Charé'h el Warcha,5,45,43,88
Kom el Nadoura,81,99,51,150
,384,2237,2123,4360
RAMLEH,,,,
Aly Ibrahim el Soubki,,,,
Bulkeley,149,498,478,976
Fleming,82,245,324,569
Bacos w. el Souk,213,817,540,1357
Abou el Nawatir,60,828,109,937
,504,2388,1451,3839
Hassan Soleiman Bissar,,,,
Ezbet Achour w. Abdallah,104,362,395,757
El Kossayi w. Rommana,70,274,297,571
El Bank w. Ezbet Hussein Pacha,10,30,27,57
Haret el Chokhchokh,67,410,357,767
Seffer,55,202,281,483
Schufz,125,342,415,757
San Stefano,46,180,182,362
Ezbet Ghobrial w. Sallam,46,148,179,327
Dar Issa w. el Siouf,87,372,370,742
,610,2320,2503,4823
Moustapha Abdallah,,,,
Hagar el Nawatieh,131,351,324,675
El Dahrieh,202,799,855,1654
El Aksa,118,1448,1374,2822
,451,2598,2553,5151
Campements,,,,
Bédouins,,531,531,1062
,,531,531,1062
PORT,,,,
Navires à vapeur,42,1764,154,1918
Bâtiments à voiles,79,699,194,893
,121,2463,348,2811
ENVIRONS,,,,
Station gardes-côtes Ramleh,,42,39,81
Station gardes-côtes Sidi Bechr,,35,46,81
Station gardes-côtes El Kharban,,18,11,29
El Mandara,112,525,501,1026
Ezbet Marzouk,26,103,85,188
Ezbet Zayan,44,149,184,333
Ezbet Abdallah,20,72,65,137
El Kharaba,68,276,284,560
El Montazah (Palais),33,92,117,209
El Montazah (Ezbet),34,64,49,113
Aboukir,156,590,578,1168
Campements (Bédouins),,406,388,794
,493,2372,2347,4719
