"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
Haret Cherine Pacha,5,22,21,43
Charé'h Abou Wardeh,10,34,38,72
Eweneh Abou Wardeh,5,14,17,31
Charé'h Abou Sen,12,71,80,151
Charé'h Saffar Pacha,20,80,86,166
Charé'h Sour el Tarsana,22,534,83,617
Haret el Touroudi,46,256,285,541
Haret Sidi Mansour,24,140,131,271
Haret el Tolomba,15,58,71,129
Charé'h el Bacha,42,403,390,793
Sans résidence fixe,,156,17,173
,243,2009,1474,3483
Haret el Chemirli el Charki,,,,
Charé'h el Mahafzah,21,131,108,239
Haret el Chorbagui,10,39,62,101
Haret Rached Effendi,5,31,25,56
Haret Abou Ghali,11,56,51,107
Haret el Chemirli,17,136,108,244
Haret Affarah,10,52,68,120
Haret el Egl,12,60,55,115
Zokak el Chammà',5,19,15,34
Haret Abassi Hafez,13,82,94,176
Haret el Sa’ran,9,43,41,84
Haret el Zawawi,11,83,69,152
Charé'h Zawiet el Sa'arna,2,6,8,14
Zawieh Guomé’a,29,266,233,499
Haret Forn Salem,19,288,279,567
,174,1292,1216,2508
Medawara,,,,
Charé'h el Halwagui,10,117,113,230
Haret Badr el Dine,6,46,54,100
Haret Abou Tor,16,57,63,120
Charé'h el Kontarguieh,9,41,47,88
Haret dépendant de Medawara,9,41,43,84
Charé'h Zawiet el A'rag,8,71,58,129
Haret Medawara,42,227,249,476
Charé'h el Goumrouk el Kadim,7,37,31,68
Haret el Goumrouk el Kadim,5,24,25,49
Haret el Goumrouk el Kadim,5,31,24,55
Charé'h el Tolomba,19,119,133,252
Charé'h el Zabtieh,2,137,62,199
Haret dépend. de Charé'h el Zabtieh,6,17,15,32
Charé'h el Goumrouk el Kadim,78,908,555,1463
Sans résidence fixe,,212,53,265
,222,2085,1525,3610
El Temrazieh,,,,
Charé'h el Mahafzah,30,132,140,272
Haret el Mesekni,41,217,278,495
Haret Bez Ommeh,33,192,190,382
Charé'h Forn el Korkache,47,395,434,829
Haret el Temrazieh,58,448,497,945
Sans résidence fixe,,136,22,158
,209,1520,1561,3081
GOUMROUK - Kism 1 r 3,,,,
Souk el Samak el Kadim,,,,
Charé'h Souk el Samak el Kadim,24,132,165,297
El Charé'h el Mouballat,51,575,570,1145
Haret el Kholi,8,46,55,101
Haret Guemé’ay,4,45,35,80
Haret Terbana,17,132,123,255
Charé'h Madrasset el Amerikan,6,34,42,76
Charé'h el Mahkameh el Kadima,18,101,120,221
Haret el Ghatissi,25,179,207,386
Haret dépend. de Charé'h el Zabtieh,9,85,85,170
Woukalet el Laïmoun,27,450,416,866
Zawiet el Set,44,571,538,1109
Charé'h el Midan,6,17,13,30
Charé'h el Batarekh,26,189,198,387
Sans résidence fixe,,197,31,228
,265,2753,2598,5351
Ahou Choucha,,,,
Charé'h Consul el Malakan,20,104,89,193
Haret Ekkingui Osman,8,38,32,70
Haret el Mehtesseb,8,44,40,84
Haret el Garbou’ay,4,31,27,58
Charé'h Haret el Yahoud,12,81,91,172
Haret Bawabet el Chahhatine,5,45,44,89
Haret el Yahoud,9,55,61,116
Haret el Goharieh,14,99,85,184
Haret el Khawassine,5,27,27,54
Charé'h Aguinah,2,3,3,6
Haret Ghobrial,9,57,62,119
Haret Bawabet el Chami,11,68,78,146
Charé'h el Maltieh,6,113,115,228
Haret Affarah,8,52,48,100
Charé'h el Goumrouk,2,4,2,6
Charé'h el Gheriani,31,300,289,589
Gamé’h Sidi Lalo,44,389,400,789
Haret el Saba’ Koran,20,255,248,503
Charé'h Abou Choucha,52,533,480,1013
Sans résidence fixe,,167,,167
,270,2465,2221,4686
El Balaktarieh el Soghra,,,,
Charé'h 'Aly Bey Gueneina,6,21,16,37
Charé'h el Balaktarieh,18,71,74,145
Haret el Nadwi w. el Azzouni,19,116,141,257
Charé'h Abdel Men'em el Dalil,10,88,88,176
Charé'h Sidi Soleiman,22,136,127,263
Charé'h el Rakchi,41,356,364,720
Haret Kera',128,134,134,262
Haret Petracchi,17,107,113,220
Charé'h Mohammed Bey el Dib,13,59,75,134
Haret Souk el Manakhlieh,8,84,95,179
Charé'h el Midan,20,306,207,513
Charé'h Gamé'h Abdel Latif,13,108,109,217
Charé'h Bali,13,106,107,213
Charé'h el Sekka el Guedida,-,-,-,-
Haret Kotb Effendi,37,315,303,618
Haret Kahwet el Gharbi,44,433,436,869
Charé'h Souk el Barsim,45,692,589,1281
,342,3126,2978,6104
El Balaktarieh el Kobra,,,,
Haret el Rakchi,28,244,202,446
Charé'h Bab el Guir,50,510,451,961
Atfet Bab el Guir,3,10,14,24
Haret el Serafi,33,209,212,421
Haret Nouwar,9,63,66,129
Charé'h el Diwani,8,74,65,139
Zokak Kéla,11,105,95,200
Atfet Abou Aly,1,5,2,7
Atfet el Heddeni,1,9,13,22
Haret Koteit,12,71,83,154
Charé'h el Nahhassine,45,399,379,778
Haret el Souweni,24,185,173,358
Haret el Lakani,30,187,232,419
Haret el Sabbagh,7,35,35,70
Haret Nassib,20,139,122,261
Charé'h Farghali,18,120,128,248
Charé'h Inghilterra,26,191,198,389
Charé'h el Masri,11,59,70,129
Charé'h el Mostehi,3,11,12,23
Haret Aly Bey el Masri,24,185,200,385
Charé'h el Goumrouk,25,175,64,239
Sans résidence fixe,,221,28,249
,389,3207,2844,6051
Kabou el Mallah,,,,
Haret el Yahoud,11,66,55,121
Charé'h Haret el Yahoud,13,59,54,113
Haret Hassanein Salem el Zayat,5,27,29,56
Haret el Berri,11,76,90,166
Charé'h Haret el Rakchi,32,188,181,369
Haret el Kammache,24,136,137,273
Charé'h Kabou el Mallah,15,164,171,335
Haret Barghout,12,84,105,189
Charé'h el Bahr,1,2,,2
Charé'h Haret el Yahoud,46,425,419,844
Haret el Kerdassi,48,451,384,835
Haret el Nokali,41,300,282,582
Haret el Sayi,43,324,336,660
Sans résidence fixe,,117,10,127
,302,2419,2253,4672
"LABBANE - Kism 2, t. 4",,,,
El Ibrahimi w. Kahwet el Kezaz,,,,
Haret Kahwet el Kezaz,14,74,76,150
El Hara el Wassa’a,21,112,116,228
Charé'h el Karasta,19,91,81,172
Charé'h Haret Kahwet el Kezaz,12,53,42,95
Charé'h Karakol el Labbane el Kadim,10,68,64,132
Haret Kahwet el Kezaz,22,98,104,202
Haret Kahwet el Kezaz,26,104,98,202
Haret Kahwet el Kezaz,24,68,45,113
Charé'h Anastasi,11,51,36,87
Haret el Maltieh,16,73,74,147
Haret el Akbat,13,128,122,250
El Hara el Wassa'a,19,77,102,179
Charé'h el Hara el Wassa’a,11,44,31,75
Charé'h el Saboura,10,71,55,126
Charé'h el Hag Nazir,8,32,31,63
Charé'h el Ibrahimi,22,191,114,305
Haret dépend. d’el Hara el Wassa’a,34,310,242,552
,292,1645,1433,3078
El Menayar,,,,
Charé'h el Menayar et N° 5,102,588,547,1135
Charé'h Souk el Goma,51,92,46,138
Charé'h Stagni,32,64,25,89
Charé'h el Ibrahimi,47,181,138,319
Charé'h N° 4,273,781,510,1291
,505,1706,1266,2972
El Borhami w. Machmas el Bassal,,,,
Haret el Cheikh Ahmad Nour el Dine,56,339,328,667
Haret Hussein Nasr,38,221,250,471
Haret el Tourk,40,242,235,477
Machmas el Bassel,25,128,119,247
Charé'h el Borhami,56,295,255,550
,215,1225,1187,2412
El Sekka el Guedida w. Forn el Guerayah,,,,
Charé'h el Sekka el Guedida,90,310,194,504
Atfet el Saharig,2,5,4,9
Charé'h el Sagha el Kebira,9,22,11,33
Haret el Balaktarieh w. el Sagha el Kadima,1,1,,1
