No.,Districts ,MASC.,FEM.,TOTAL,"Subdivisions: Boulevards, Rues, Ruelles, etc.",Subdivisions: Habitations et Locaux Recensés,Nationalities: Égyptiens Total,Nationalities: Étrangers Total,Nationalities: Grece,Nationalities: Italie,Nationalities: France,Nationalities: Grande-Bertagne,Nationalities: Allemegne,Nationalities: Russie ,Nationalities: Austriche-Hongrie ,Nationalities: Autres pays,Religion: Musulmans Total,Religion: Christian: Chretiens Total,Religion: Christian: Cophtes,Religion: Christian: Orthodoxes,Religion: Christian: Catholiques,Religion: Christian: Protestants,Religion: Israelites Total,Religion: Divers Total,Literacy: Male: Sachant Lire et Écrire,Literacy: Male: Illettrés,Literacy: Female: Sachant Lire et Écrire,Literacy: Female: Illettrées,Profession: Male: Diverses Professions,Profession: Male: Sans Profession,Profession: Female: Diverses Professions,Profession: Female: Sans Professions
,El Nag,2812,2620,5432,1,643,5372,60,3,,12,18,,2,25,,5332,100,47,23,28,2,,,219,2593,64,2556,1890,922,52,2568
,Kom el Choukafa el Gouwani w. el Borsa,897,485,1382,2,210,1204,178,74,56,11,31,,1,3,2,1124,254,12,99,119,24,4,,290,607,104,381,708,189,93,392
,El Gueneina el Kobra,1572,1433,3005,6,388,1385,1620,220,748,168,291,10,,150,15,1014,1945,16,438,1474,17,46,,786,786,439,994,1098,474,174,1259
,Gueneinet el Eiouni,1501,1329,2830,2,380,2821,9,2,,7,,,,112,,2808,22,20,2,,,,,182,1319,60,1269,1004,497,19,1310
,Kom Bakir w. el Ibrahimi,1384,1054,2438,3,374,1448,990,168,315,35,359,,,,1,1280,1136,144,174,783,35,22,,613,771,265,789,1092,292,81,973
6,"TOTAL Labbane.-K2me, T. 5me",11821,10278,22099,19,2628,18463,3636,601,1354,339,904,21,11,355,33,17553,4431,329,984,3008,110,115,0,2787,9034,1168,9110,8255,3566,692,9586
,El Messalla w. Bab Charki,1518,1162,2680,4,282,1523,1157,732,203,57,75,12,,62,16,1153,1246,46,711,441,48,281,,622,896,327,835,998,520,158,1004
,Lazzaretto No 2,1314,1226,2540,5,319,2418,122,67,42,4,3,1,,4,1,2313,220,76,86,56,2,7,,89,1225,24,1202,711,603,44,1182
,El Souri bel Attarine,2150,1965,4115,1,405,2984,1131,581,365,61,52,11,3,41,17,2088,1964,86,880,965,24,56,7,832,1318,302,1663,1287,863,160,1805
,El Messalla w. Charé'h el Ramleh,1147,1062,2209,3,256,927,1282,740,188,50,128,28,10,125,13,677,1391,64,875,359,93,141,,504,643,385,677,608,539,404,658
,Bab Charki,1187,1053,2240,3,180,1820,420,129,71,68,60,14,6,57,15,1766,392,7,193,154,38,82,,324,863,217,836,703,484,192,861
,El Attarine w. Cicolani,3399,3290,6689,4,594,2640,4049,1520,1561,253,292,31,16,332,44,1261,5135,163,1949,2929,97,282,8,1806,1593,1286,2004,1975,1424,1036,2254
,Kom el Dikka el Gharbi,2048,2086,4134,2,385,3461,673,173,205,64,59,14,,95,63,3247,647,68,236,310,33,240,,453,1595,307,1779,1193,855,146,1940
,El Attarine,2513,2266,4779,13,319,2714,2065,790,623,142,193,11,14,246,46,2283,2197,24,989,1090,94,299,,1041,1472,821,1445,1721,792,428,1838
,Lazzaretto No 1,1264,1221,2485,4,311,2448,37,35,,2,,,,,,2387,90,32,51,7,,8,,61,1203,9,1212,823,441,78,1143
,Cherif Pacha w. el Messalla,3186,2676,5862,6,395,2066,3796,1529,688,424,389,69,48,449,200,1236,4254,238,1796,1831,389,358,14,1894,1292,1673,1003,2124,1062,636,2040
,Kom el Dikka el Charki,1604,1554,3158,1,245,2909,249,79,55,24,28,,1,15,47,2823,275,15,107,144,9,60,,311,1293,93,1461,991,613,72,1482
2,"TOTAL Atarine.-K. 3me, T. 6me",21330,19561,40891,46,3691,25910,14981,6375,4001,1149,1279,191,98,1426,462,21234,17814,819,7882,8286,827,1814,29,7937,13393,5444,14117,13134,8196,3354,16207
,Tabiet Saleh,1891,1827,3718,6,354,3673,45,23,3,8,11,,,,,3641,72,32,23,6,11,5,,123,1768,11,1816,1234,657,100,1727
,El Mafrouza,2015,1641,3656,3,412,3645,11,11,,,,,,,,3583,69,56,13,,,4,,156,1859,,1641,1318,697,51,1590
,Kafret el Arab,1643,1412,3055,5,389,3034,21,16,1,3,1,,,,,2923,57,34,17,6,,10,,34,1609,,1412,1121,522,140,1272
,Bab el Gabbari,3122,3060,6182,33,609,6056,125,81,,13,25,,,7,,5923,249,95,89,47,18,10,,399,2723,51,3009,2020,1102,161,2899
,El Mex,1206,921,2127,1,283,1997,130,16,52,24,37,1,,,,1909,219,73,37,78,29,1,,123,1083,61,860,838,368,15,906
,Kafr Achri,1786,1630,3416,17,293,3398,18,,,18,,,,,,3370,46,46,,,,,,391,1395,36,1594,1268,518,106,1524
,Kafr Achri el Awadi,1459,1236,2695,19,386,2612,83,50,6,16,11,,,,,2573,121,36,65,25,1,1,,282,1177,42,1194,1038,421,71,1165
,El Gabbari,1847,1704,3551,24,376,3535,16,2,11,,3,,,,,3456,87,55,9,20,3,8,,198,1649,30,1674,1253,594,102,1602
,El Dekheila,1220,1030,2250,1,244,2196,54,19,7,24,,,,4,,2181,56,19,20,17,,13,,68,1150,47,983,781,439,60,970
,Souk el Wardian,1550,1500,3050,6,357,3003,47,14,5,28,,,,,,3020,29,9,14,7,,1,,51,1499,20,1480,844,706,28,642
,Campements (Bedouins),2486,642,3128,,,3128,,,,,,,,,,3128,,,,,,,,16,2470,,642,1870,616,,
4,"TOTAL, Minet el Bassal. K.4me, T. 7me",20225,16603,36828,115,3703,36277,551,232,85,134,88,1,0,11,0,35772,1003,448,287,206,62,53,0,1841,18382,298,16305,13585,6640,834,15769
,Amoud el Sawari,2161,1724,3885,24,428,3850,35,12,5,,16,,,2,,3792,93,58,23,7,5,,,349,1862,15,1709,1547,614,20,1704
,Charki Bab el Guedid,2983,2915,5898,13,718,4793,1105,202,302,315,119,25,8,69,65,3841,1449,253,507,609,80,604,4,1025,1958,702,2213,1639,1344,241,2674
,Bab Omar Pacha,4013,3787,7800,18,559,7665,135,98,17,4,,,,12,4,7187,605,319,217,68,1,8,,606,3407,17,3770,2395,1618,92,3695
,Kom Choukafa el Barrani,1458,1540,2998,10,287,2994,4,4,,,,,,,,2982,16,12,4,,,,,256,1202,1,1539,914,544,44,1496
,Bab Sidra el Barrani I,1485,1433,2918,7,330,2860,58,18,20,3,8,,,,9,2676,239,174,20,45,,3,,88,1397,36,1397,871,614,49,1384
,Hadra w. El Ibrahimieh,3947,4015,7962,33,224,7371,591,156,133,90,112,1,18,45,36,7221,714,97,170,360,87,19,8,494,3453,316,3699,2210,1737,185,3830
,Gharbi Bab el Guedid,3824,3447,7281,10,700,6759,522,176,161,87,41,5,5,23,24,5791,1225,480,313,398,34,258,7,1177,2647,261,3196,2271,1553,143,3314
,Gharbi Karmouz,1759,1825,3584,11,323,3544,40,,,40,,,,,,3567,17,16,,1,,,,153,1605,,1825,1135,624,39,1786
,Gharb Kom Choukafa,1508,1523,3031,10,353,3014,17,8,,,6,,,3,,2995,36,15,8,13,,,,248,1260,10,1513,941,567,20,1503
,Moharrem Bey,2429,2558,4987,19,703,4478,509,83,155,80,87,9,3,53,39,4288,533,89,122,259,63,166,,564,1865,459,2099,1473,956,259,2299
,Gheit el Enab,2302,2342,4644,15,632,4532,112,27,13,45,18,,,,9,4417,216,117,57,40,2,11,,154,2142,45,2297,1424,878,40,2302
,Charki Karmouz,1461,1522,2983,21,350,2899,84,42,14,15,7,,,6,,2823,160,44,49,63,4,,,157,1304,50,1472,907,554,42,1480
,El Ghatès,1773,1723,3496,13,370,3484,12,12,,,,,,,,3427,69,43,26,,,,,295,1478,22,1701,1292,481,83,1640
