Village or Sheyakha,Area in sq. km,population per sq. km,No. of occupied dwellings,Sex,total population ,Religion: Moslem,Religion: Christian: Orthodox,Religion: Christian: Catholic,Religion: Christian: Protestant,Religion: Christian: Other Christian,Religion: Christian: Total,Religion: Jewish,Religion: Not Stated or Other Religion ,Civil Status: Single,Civil Status: Married,Civil Status: Divorced ,Civil Status: Widowed,Civil Status: Not Stated,Literacy: Literate,Literacy: Illiterate,Blindness: Blind in One Eye,Blindness: Blind of both Eyes
El Attarin,,,,,,,,,,,,,,,,,,,,,,
4. Ghubrial North and ‘Ez. ‘Abd. ‘Ashur,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5. Mustafa Pacha and Abu Nawatir,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6. Palace San Stefano and Gianaclis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
7. El Qusa’i,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"8. El Raml, Abu Nawatir and Carlton",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
9. Shutz East and Ramleh Station,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
10. El Syuf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
11. El Zahiriya South,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
12. Sundries,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL RAMLEH,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ships,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
War Refugees’ Camps,,,,,,,,,,,,,,,,,,,,,,
