Shiyakha,Thumn,Male Inhabitants,Female Inhabitants,Inhabitants,Female %,"Boulevards, Rues, Ruelles, etc.",Habitations  et Locaux Recensés,Persons per Residence,% Egyptian,% foreign,Égyptiens Total,Étrangers Total,Grece,Italie,France,Grande-Bertagne,Allemagne,Russie ,Austriche-Hongrie ,Autres pays,Musulmans  Total,Non-Muslim %,Non-Muslims Total,sum of non-Muslims,error?,Copts as % of Christians,Catholics as % of Christians,Jews as % of non-Muslims,Chretiens Total,Cophtes,Orthodoxes,Catholiques,Protestants,Israelites Total,Divers Total,Male Sachant Lire et Écrire,Male Illettrés,Female literacy,Female Sachant Lire et Écrire,Female Illettrées,% of Men without profession,Male Diverses Professions,Male San Profession,Female Diverses Professions,Female Sans Professions
El Borhami w. Machmas el Bassal,4,1225,1187,2412,49.2,5,215,11.2,61,39,1471,941,93,587,4,219,7,1,30,,1339,44.5,1073,1073,0,2.3,83.1,1.4,1058,24,154,879,1,15,,352,873,18.6,221,966,35.7,788,437,133,1054
El Sekka el Guedida w. Forn el Guerayah,4,800,579,1379,42,24,245,5.6,75.5,24.5,1041,338,113,103,13,74,1,,18,16,664,51.8,715,715,0,6.6,41.1,2.1,699,46,353,287,13,15,1,273,527,39.7,230,349,11.5,708,92,105,474
El Sabourah,4,1299,1204,2503,48.1,1,295,8.5,92.7,7.3,2320,183,72,54,1,56,,,,,2143,14.4,360,360,0,36.4,27.2,3.9,346,126,118,94,8,14,,188,1111,4.1,49,1155,32.3,880,419,142,1062
El Takhachib w. El Tartouchi,4,1991,1622,3613,44.9,3,573,6.3,74.7,25.3,2700,913,221,251,15,376,,,43,7,2240,38,1373,1373,0,12.8,59.7,1.2,1349,172,346,805,26,16,8,636,1355,12,195,1427,25.4,1485,506,156,1466
El Farahdah,5,1952,1829,3781,48.4,4,367,10.3,83.8,16.2,3170,611,113,204,51,188,10,3,34,8,2972,21.4,809,809,0,10.3,57.8,5.3,766,79,219,443,25,43,,388,1564,8.8,161,1668,39.8,1175,777,89,1740
Bab Sidra el Gouwani,5,1703,1528,3231,47.3,1,266,12.1,94.8,5.2,3063,168,21,31,55,17,1,5,31,7,3023,6.4,208,208,0,5.3,77.4,0,208,11,29,161,7,,,309,1394,4.9,75,1453,24.4,1288,415,184,1344
El Nag,5,2812,2620,5432,48.2,1,643,8.4,98.9,1.1,5372,60,3,,12,18,,2,25,,5332,1.8,100,100,0,47,28,0,100,47,23,28,2,,,219,2593,2.4,64,2556,32.8,1890,922,52,2568
Kom el Choukafa el Gouwani w. el Borsa,5,897,485,1382,35.1,2,210,6.6,87.1,12.9,1204,178,74,56,11,31,,1,3,2,1124,18.7,258,258,0,4.7,46.9,1.6,254,12,99,119,24,4,,290,607,21.4,104,381,21.1,708,189,93,392
El Gueneina el Kobra,5,1572,1433,3005,47.7,6,388,7.7,46.1,53.9,1385,1620,220,748,168,291,10,,150,15,1014,66.3,1991,1991,0,0.8,75.8,2.3,1945,16,438,1474,17,46,,786,786,30.6,439,994,30.2,1098,474,174,1259
Gueneinet el Eiouni,5,1501,1329,2830,47,2,380,7.4,99.7,0.3,2821,9,2,,7,,,,112,,2808,0.8,22,22,0,90.9,0,0,22,20,2,,,,,182,1319,4.5,60,1269,33.1,1004,497,19,1310
